year	DOY	hour	Temperature	RH	totalPPFD	diffusePPFD	
2015	246	0	28.00 	78.9	0	0
2015	246	1	27.72 	78.6	0	0
2015	246	2	27.22 	81.3	0	0
2015	246	3	27.11 	81.7	0	0
2015	246	4	26.72 	83.3	0	0
2015	246	5	25.50 	87.7	26	13
2015	246	6	27.78 	83.5	312	156
2015	246	7	29.28 	77.7	759	379.5
2015	246	8	30.28 	71.3	1238	619
2015	246	9	31.39 	67	1613	806.5
2015	246	10	32.11 	64.4	1412	706
2015	246	11	32.72 	59	2038	1019
2015	246	12	33.28 	53.7	2027	1013.5
2015	246	13	34.28 	50.1	1936	968
2015	246	14	33.28 	57.5	1680	840
2015	246	15	32.72 	60.5	1279	639.5
2015	246	16	32.28 	65	825	412.5
2015	246	17	31.11 	69.9	346	173
2015	246	18	29.61 	76.2	31	15.5
2015	246	19	28.61 	83	0	0
2015	246	20	28.28 	85.7	0	0
2015	246	21	28.22 	86.8	0	0
2015	246	22	28.22 	86.6	0	0
2015	246	23	28.11 	87.3	0	0
2015	247	0	27.72 	90.2	0	0
2015	247	1	27.22 	92.2	0	0
2015	247	2	26.89 	95.6	0	0
2015	247	3	26.89 	97.1	0	0
2015	247	4	27.11 	96.3	0	0
2015	247	5	27.11 	95.9	23	11.5
2015	247	6	28.61 	89.9	229	114.5
2015	247	7	29.61 	84.9	667	333.5
2015	247	8	31.39 	74.5	1106	553
2015	247	9	31.89 	71	796	398
2015	247	10	33.00 	67.9	2237	1118.5
2015	247	11	32.11 	69.2	627	313.5
2015	247	12	33.00 	65.7	2230	1115
2015	247	13	27.50 	80.3	689	344.5
2015	247	14	29.39 	79.6	1460	730
2015	247	15	28.78 	86.8	894	447
2015	247	16	30.61 	74.1	387	193.5
2015	247	17	29.72 	77.9	108	54
2015	247	18	29.11 	82.2	13	6.5
2015	247	19	28.72 	84.6	0	0
2015	247	20	28.28 	86.3	0	0
2015	247	21	28.00 	88.3	0	0
2015	247	22	27.61 	91.6	0	0
2015	247	23	27.61 	92.8	0	0
2015	248	0	27.61 	91.7	0	0
2015	248	1	27.50 	91.5	0	0
2015	248	2	27.22 	95	0	0
2015	248	3	27.22 	95.5	0	0
2015	248	4	27.22 	95.2	0	0
2015	248	5	27.39 	93.3	24	12
2015	248	6	28.28 	88.7	208	104
2015	248	7	29.28 	87.6	875	437.5
2015	248	8	29.78 	81	539	269.5
2015	248	9	30.28 	79.2	879	439.5
2015	248	10	31.72 	71	1624	812
2015	248	11	31.39 	70.4	898	449
2015	248	12	31.89 	68.6	1180	590
2015	248	13	31.72 	70.1	616	308
2015	248	14	32.22 	68.5	1248	624
2015	248	15	31.28 	70.5	610	305
2015	248	16	30.22 	75.9	438	219
2015	248	17	29.61 	78.2	106	53
2015	248	18	28.89 	81.4	22	11
2015	248	19	28.39 	84.2	0	0
2015	248	20	28.28 	84.8	0	0
2015	248	21	28.22 	85	0	0
2015	248	22	28.11 	85.7	0	0
2015	248	23	27.89 	85.7	0	0
2015	249	0	27.89 	85.7	0	0
2015	249	1	27.78 	85.8	0	0
2015	249	2	27.72 	85.7	0	0
2015	249	3	27.78 	85.7	0	0
2015	249	4	27.78 	85.7	0	0
2015	249	5	27.72 	86	10	5
2015	249	6	27.89 	86.2	112	56
2015	249	7	28.39 	84.9	286	143
2015	249	8	28.39 	84.9	437	218.5
2015	249	9	29.72 	79.6	602	301
2015	249	10	30.61 	75.6	1093	546.5
2015	249	11	31.61 	71.2	2106	1053
2015	249	12	31.11 	70.4	1666	833
2015	249	13	30.61 	72.1	745	372.5
2015	249	14	30.28 	74.3	593	296.5
2015	249	15	29.72 	78.6	290	290
2015	249	16	29.22 	80.1	161	80.5
2015	249	17	28.72 	78	79	39.5
2015	249	18	28.11 	82.7	16	8
2015	249	19	27.78 	85.7	0	0
2015	249	20	27.78 	87.6	0	0
2015	249	21	27.89 	87.9	0	0
2015	249	22	27.89 	88.5	0	0
2015	249	23	27.72 	90.2	0	0
2015	250	0	27.72 	91.2	0	0
2015	250	1	27.50 	93.1	0	0
2015	250	2	27.22 	94.6	0	0
2015	250	3	27.11 	95.5	0	0
2015	250	4	26.89 	97.5	0	0
2015	250	5	26.78 	98.4	13	6.5
2015	250	6	27.22 	97.6	79	39.5
2015	250	7	27.39 	95.8	169	84.5
2015	250	8	27.89 	90.9	216	108
2015	250	9	28.11 	85.9	288	144
2015	250	10	27.72 	88.8	427	427
2015	250	11	27.61 	92.5	391	195.5
2015	250	12	28.50 	84.5	377	188.5
2015	250	13	27.22 	92.2	316	158
2015	250	14	26.61 	95.6	178	178
2015	250	15	27.28 	97.2	298	298
2015	250	16	28.11 	92.5	216	108
2015	250	17	27.28 	97.3	70	35
2015	250	18	27.22 	98.2	0	0
2015	250	19	27.28 	96.1	0	0
2015	250	20	27.78 	88.1	0	0
2015	250	21	28.22 	83.2	0	0
2015	250	22	28.22 	82.9	0	0
2015	250	23	28.22 	81.5	0	0
2015	251	0	28.11 	81.5	0	0
2015	251	1	28.00 	81.9	0	0
2015	251	2	27.78 	83.3	0	0
2015	251	3	27.61 	84.7	0	0
2015	251	4	27.28 	85.7	0	0
2015	251	5	26.72 	88.8	0	0
2015	251	6	26.72 	88.9	24	12
2015	251	7	25.22 	92.8	121	60.5
2015	251	8	24.72 	95.4	119	59.5
2015	251	9	26.22 	90.5	534	267
2015	251	10	26.11 	85.8	371	185.5
2015	251	11	28.61 	74.8	2224	1112
2015	251	12	29.22 	69.7	1128	564
2015	251	13	29.61 	68.3	1983	991.5
